,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality
devops,0.0263157894736842,0.0152885001627432,0.1970979210139887
django,0.0263157894736842,0.0577908224019076,0.22596579833421937
windows,0.0263157894736842,0.015525539512498,0.1966647387700019
less,0.0263157894736842,0.0,0.20290806381031945
vb.net,0.0263157894736842,0.0,0.1953765417911591
nginx,0.0263157894736842,0.02033621969812,0.22944219523166892
bash,0.0263157894736842,0.0010945505356311,0.2006333097317284
spring-boot,0.0263157894736842,0.0,0.1747704221491228
web-services,0.0263157894736842,0.0,0.1966647387700019
scala,0.0263157894736842,0.0003105107902499,0.02631578947368421
elasticsearch,0.0175438596491228,0.0,0.20199200031681913
hadoop,0.0175438596491228,0.0,0.019736842105263157
excel-vba,0.0175438596491228,0.0,0.017543859649122806
apache-spark,0.0175438596491228,0.0,0.019736842105263157
twitter-bootstrap-3,0.0175438596491228,0.0,0.2198586145954567
excel,0.0175438596491228,0.0,0.017543859649122806
angular2,0.0175438596491228,0.0307405682347461,0.20153706337916866
vba,0.0175438596491228,0.0,0.017543859649122806
bootstrap,0.0175438596491228,0.0,0.2204001382767263
machine-learning,0.0175438596491228,0.0,0.17719298245614035
plsql,0.0175438596491228,0.0,0.16181275974746995
shell,0.0175438596491228,0.0,0.1928501209921355
ruby,0.0175438596491228,0.0,0.18878155303871494
ruby-on-rails,0.0175438596491228,0.0,0.18878155303871494
typescript,0.0175438596491228,0.015525539512498,0.16509678254677285
oracle,0.0175438596491228,0.0,0.16181275974746995
flask,0.0175438596491228,0.0,0.19840899365931458
unix,0.0087719298245614,0.0,0.19243538954914166
vue.js,0.0087719298245614,0.0,0.1737523420200988
matlab,0.0087719298245614,0.0,0.14814976182177297
perl,0.0087719298245614,0.0,0.008771929824561403
ubuntu,0.0087719298245614,0.0,0.19243538954914166
xml,0.0087719298245614,0.0,0.1928501209921355
powershell,0.0087719298245614,0.0,0.16122965070333492
testing,0.0087719298245614,0.0,0.008771929824561403
regex,0.0087719298245614,0.0,0.008771929824561403
angular,0.0087719298245614,0.0,0.13938077280428485
tdd,0.0087719298245614,0.0,0.008771929824561403
mvc,0.0087719298245614,0.0,0.19326664393164336
android-studio,0.0087719298245614,0.0,0.14549992868349734
embedded,0.0087719298245614,0.0,0.15781738296358178
xamarin,0.0087719298245614,0.0,0.1714223297707871
unity3d,0.0087719298245614,0.0,0.1714223297707871
visual-studio,0.0087719298245614,0.0,0.1714223297707871
qt,0.0087719298245614,0.0,0.15781738296358178
photoshop,0.0087719298245614,0.0,0.20018446563836884
go,0.0087719298245614,0.0,0.16181275974746995
agile,0.0087719298245614,0.0,0.008771929824561403
drupal,0.0087719298245614,0.0,0.17932355939950076
eclipse,0.0087719298245614,0.0,0.1586568371282817
ionic-framework,0.0087719298245614,0.0,0.1997376253132832
api,0.0087719298245614,0.0,0.18004518338098768
github,0.0087719298245614,0.0,0.1714223297707871
haskell,0.0087719298245614,0.0,0.015789473684210523
cloud,0.0087719298245614,0.0,0.1654019522002789
selenium,0.0087719298245614,0.0,0.008771929824561403
